 Target | All Node Timing - Unsorted | Early Break Timing - Unsorted | All Node Timing - PQ | Early Break Timing - PQ
(325, 325) | 8.702335921007034 | 0.6263105479956721| 29.221011280998937 | 1.7159633610062883
(326, 326) | 8.674500886001624 | 0.5754377280027256| 29.10761545100104 | 1.9415373290030402
(327, 327) | 8.478803368001536 | 0.6311243029995239| 28.732893781998428 | 1.864362214000721
(328, 328) | 8.459908753997297 | 0.6029214980007964| 29.105143280001357 | 2.042882735004241
(329, 329) | 8.4942473839983 | 0.6424766470008763| 28.6538542950002 | 2.036018933999003
(330, 330) | 8.615261274004297 | 0.7377934969990747| 28.354374585003825 | 2.0960044480016222
(331, 331) | 8.475809950999974 | 0.6969882830017013| 28.50826751600107 | 2.3020554920003633
(332, 332) | 8.563063754998439 | 0.7101548979990184| 29.03689951099659 | 2.3492576990029193
(333, 333) | 8.484950596997805 | 0.7254990229994291| 28.0145837989985 | 2.387818529001379
(334, 334) | 8.315436343000329 | 0.7464971859953948| 28.479189197001688 | 2.4863062699951115
(335, 335) | 8.463266032995307 | 0.7895563769998262| 28.318347913998878 | 2.4751536109979497
(336, 336) | 8.268291157000931 | 0.818136895999487| 28.265016429999378 | 2.4356849510004395
(337, 337) | 8.308713563994388 | 0.8678835640021134| 28.693465819000266 | 2.6473408530000597
(338, 338) | 8.33023133399547 | 0.8376960640016478| 28.277890899997146 | 2.641750153998146
(339, 339) | 8.325391962003778 | 0.841891163996479| 28.099469004999264 | 2.685896713999682
(340, 340) | 8.24746826000046 | 0.8289775760058546| 27.86812043700047 | 2.8224554780026665
(341, 341) | 8.301812008001434 | 0.9076861740031745| 28.588187980996736 | 3.075235292999423
(342, 342) | 8.352581958002702 | 0.9521425339989946| 28.379568270000163 | 3.1579178660031175
(343, 343) | 8.323992323996208 | 1.1141482730017742| 28.590228365996154 | 3.43320435500209
(344, 344) | 8.201810957994894 | 1.1304811999943922| 28.295649960993615 | 3.483924489002675
(345, 345) | 8.24330696400284 | 1.0936493249973864| 28.23090636300185 | 3.661101466001128
(346, 346) | 8.165649189999385 | 1.067134099001123| 27.953331718999834 | 3.715926285003661
(347, 347) | 8.139121211999736 | 1.1536341879982501| 28.147336494002957 | 3.624537700001383
(348, 348) | 8.458774331003951 | 1.1871205429997644| 28.700280527998984 | 3.8737156509960187
(349, 349) | 8.373155508998025 | 1.2496458140012692| 28.548104895002325 | 3.9134195879960316
(350, 350) | 8.33904389199597 | 1.2680003150017| 28.147502960004203 | 4.012751154004945
(351, 351) | 8.22619605899672 | 1.3948449629970128| 27.696019212002284 | 4.250884592998773
(352, 352) | 8.265431139006978 | 1.3488117289962247| 28.42383017600514 | 4.558659930997237
(353, 353) | 8.185313084999507 | 1.4415003999965847| 28.322336181998253 | 4.74316002499836
(354, 354) | 8.466916548000881 | 1.4528924250043929| 28.29845239599672 | 4.850666539998201
(355, 355) | 8.401166304000071 | 1.4300793590009562| 28.12504152499605 | 4.888520763000997
(356, 356) | 8.307843436006806 | 1.52114680899831| 28.28786237500026 | 4.991598459004308
